supplier_id,company_name,company_size,industry,location,email,phone,website,description,employee_count,revenue_range,years_in_business,certifications_count,overall_score,performance_category,risk_level,avg_delivery_reliability,avg_cost_efficiency,avg_defect_rate,avg_quality_score,avg_customer_satisfaction,total_records,date_range
SUP_011,Wolfe Supply Co,Small,Chemicals,Asia Pacific,contact@wolfesupplyco.com,+1-397-437-8689,www.wolfesupplyco.com,Leading Chemicals company specializing in high-quality solutions and excellent customer service.,36,$1M - $10M,15,3,62.7,Fair,High,44.0,83.7,1.75,49.5,5.9,120,2015-01-01 to 2024-12-01
SUP_012,Ramirez-Lewis,Small,Food & Beverage,South America,contact@ramirezlewis.com,+1-552-598-3013,www.ramirezlewis.com,Leading Food & Beverage company specializing in high-quality solutions and excellent customer service.,75,$1M - $10M,18,1,70.4,Fair,Medium,48.3,60.7,1.71,89.5,7.2,120,2015-01-01 to 2024-12-01
SUP_013,Gallagher Systems,Small,Chemicals,South America,contact@gallaghersystems.com,+1-650-545-2580,www.gallaghersystems.com,Leading Chemicals company specializing in high-quality solutions and excellent customer service.,56,$1M - $10M,15,6,73.5,Fair,Medium,60.1,70.8,1.84,81.7,7.4,120,2015-01-01 to 2024-12-01
SUP_014,Davis Inc,Large,Chemicals,Middle East,contact@davisinc.com,+1-899-743-4477,www.davisinc.com,Leading Chemicals company specializing in high-quality solutions and excellent customer service.,2240,$100M - $1B,5,4,69.2,Fair,High,55.7,83.3,1.85,61.3,6.8,120,2015-01-01 to 2024-12-01
SUP_015,Abbott-Munoz,Small,Food & Beverage,Europe,contact@abbottmunoz.com,+1-211-688-7110,www.abbottmunoz.com,Leading Food & Beverage company specializing in high-quality solutions and excellent customer service.,41,$1M - $10M,23,5,71.0,Fair,Medium,65.5,65.1,1.85,72.2,7.1,120,2015-01-01 to 2024-12-01
SUP_016,Roman Inc,Medium,Textiles,Europe,contact@romaninc.com,+1-591-339-8916,www.romaninc.com,Leading Textiles company specializing in high-quality solutions and excellent customer service.,318,$10M - $100M,21,5,81.3,Good,Medium,76.9,74.1,1.86,90.2,8.3,120,2015-01-01 to 2024-12-01
SUP_017,"Stevens, Martinez and Nielsen",Medium,Construction,Middle East,contact@stevensmartinezandnielsen.com,+1-386-832-7696,www.stevensmartinezandnielsen.com,Leading Construction company specializing in high-quality solutions and excellent customer service.,369,$10M - $100M,11,4,78.7,Good,Medium,71.6,77.3,1.72,82.8,7.9,120,2015-01-01 to 2024-12-01
SUP_018,Miller Inc,Small,Logistics,Asia Pacific,contact@millerinc.com,+1-430-973-2945,www.millerinc.com,Leading Logistics company specializing in high-quality solutions and excellent customer service.,66,$1M - $10M,21,1,66.9,Fair,High,63.6,81.1,1.77,47.0,6.4,120,2015-01-01 to 2024-12-01
SUP_019,Calderon-Montgomery,Medium,Electronics,Asia Pacific,contact@calderonmontgomery.com,+1-205-810-5659,www.calderonmontgomery.com,Leading Electronics company specializing in high-quality solutions and excellent customer service.,380,$10M - $100M,6,7,70.0,Fair,Medium,65.1,36.1,1.75,90.8,7.2,120,2015-01-01 to 2024-12-01
SUP_020,Ray-Bush,Medium,Machinery,Middle East,contact@raybush.com,+1-826-770-8146,www.raybush.com,Leading Machinery company specializing in high-quality solutions and excellent customer service.,302,$10M - $100M,14,5,63.5,Fair,High,74.5,58.7,1.63,40.6,6.2,118,2015-01-01 to 2024-12-01
SUP_021,Stanley LLC,Medium,Logistics,North America,contact@stanleyllc.com,+1-697-524-7945,www.stanleyllc.com,Leading Logistics company specializing in high-quality solutions and excellent customer service.,336,$10M - $100M,23,4,62.4,Fair,High,63.6,45.0,1.73,58.4,6.2,120,2015-01-01 to 2024-12-01
SUP_022,Wyatt Inc,Medium,Machinery,Europe,contact@wyattinc.com,+1-228-342-1175,www.wyattinc.com,Leading Machinery company specializing in high-quality solutions and excellent customer service.,318,$10M - $100M,13,7,64.3,Fair,High,90.8,60.4,4.87,50.8,6.4,120,2015-01-01 to 2024-12-01
SUP_023,Ramirez-Reid,Medium,Construction,North America,contact@ramirezreid.com,+1-707-813-3626,www.ramirezreid.com,Leading Construction company specializing in high-quality solutions and excellent customer service.,234,$10M - $100M,21,2,65.1,Fair,High,61.5,79.6,1.8,44.2,6.2,119,2015-01-01 to 2024-12-01
SUP_024,Diaz Supply Co,Small,Textiles,Asia Pacific,contact@diazsupplyco.com,+1-800-887-6142,www.diazsupplyco.com,Leading Textiles company specializing in high-quality solutions and excellent customer service.,29,$1M - $10M,17,5,70.7,Fair,Medium,58.9,42.8,1.8,94.2,7.4,120,2015-01-01 to 2024-12-01
SUP_025,Wood Industries,Medium,Machinery,South America,contact@woodindustries.com,+1-507-420-7741,www.woodindustries.com,Leading Machinery company specializing in high-quality solutions and excellent customer service.,495,$10M - $100M,9,1,65.2,Fair,High,59.5,52.0,1.65,66.3,6.6,120,2015-01-01 to 2024-12-01
